Date,ret_hf
1/31/2015,-0.2419
2/28/2015,0.0607
3/31/2015,-0.0118
4/30/2015,-0.0464
5/31/2015,0.0153
6/30/2015,0.1334
7/31/2015,0.0865
8/31/2015,-0.1458
9/30/2015,0.0252
10/31/2015,0.2932
11/30/2015,0.1741
12/31/2015,0.1689
1/31/2016,-0.0522
2/29/2016,0.132
3/31/2016,0.0049
4/30/2016,0.0371
5/31/2016,0.1126
6/30/2016,0.2189
7/31/2016,0.0786
8/31/2016,-0.0508
9/30/2016,0.0445
10/31/2016,0.0696
11/30/2016,0.0337
12/31/2016,0.1684
1/31/2017,0.0508
2/28/2017,0.1195
3/31/2017,0.2877
4/30/2017,0.3949
5/31/2017,1.3073
6/30/2017,0.2907
7/31/2017,0.0504
8/31/2017,0.7847
9/30/2017,-0.1241
10/31/2017,0.1596
11/30/2017,0.4325
12/31/2017,0.7527
1/31/2018,-0.042
2/28/2018,-0.125
3/31/2018,-0.3365
4/30/2018,0.407
5/31/2018,-0.1723
6/30/2018,-0.2047
7/31/2018,0.0662
8/31/2018,-0.1491
9/30/2018,-0.0243
10/31/2018,-0.0709
11/30/2018,-0.2463
12/31/2018,-0.0543
1/31/2019,-0.0921
2/28/2019,0.111
3/31/2019,0.1139
4/30/2019,0.1093
5/31/2019,0.4038
6/30/2019,0.122
7/31/2019,-0.1413
8/31/2019,-0.105
9/30/2019,-0.0885
10/31/2019,0.0399
11/30/2019,-0.1034
12/31/2019,-0.0328
1/31/2020,0.388
2/29/2020,-0.0733
3/31/2020,-0.2625
4/30/2020,0.215
5/31/2020,0.0629
6/30/2020,-0.043
7/31/2020,0.31
8/31/2020,0.1954
9/30/2020,-0.162
10/31/2020,0.096
11/30/2020,0.48
12/31/2020,0.1763
1/31/2021,0.4177
2/28/2021,0.3676
3/31/2021,0.2468
4/30/2021,0.3384
5/31/2021,-0.0738
6/30/2021,-0.1495
7/31/2021,0.0944
8/31/2021,0.2528
9/30/2021,-0.1039
10/31/2021,0.2443
11/30/2021,0.0102
